Obs,svspp,SEASON,geoarea,num_tows,meansw,variance,cv,preycat,totwt,relmsw,ci,relci
1,15,FALL,GB,1020,0.98,0.276,0.53605,CLUHAR,7.2193,13.5752,0.0329,0.45571
2,15,FALL,GB,1020,0.0019,0,0.98033,GADMOR,7.2193,0.027,0.00012,0.00166
3,15,FALL,GB,1020,0.0161,0,0.97735,LIMFER,7.2193,0.2233,0.00099,0.01367
4,15,FALL,GB,1020,0.0224,0,0.93026,LOPAME,7.2193,0.31,0.0013,0.01806
5,15,FALL,GB,1020,0.0029,0,0.63539,MELAEG,7.2193,0.0396,0.00011,0.00158
6,15,FALL,GB,1020,0.0208,0,0.46146,MERBIL,7.2193,0.2875,0.0006,0.00831
7,15,FALL,GB,1020,2.7082,0.249,0.18415,OTHER,7.2193,37.5126,0.03123,0.43259
8,15,FALL,GB,1020,2.2001,1.469,0.55086,OTHFIS,7.2193,30.4748,0.07589,1.05127
9,15,FALL,GB,1020,0.0009,0,1.00212,PLEAME,7.2193,0.013,0.00006,0.00082
10,15,FALL,GB,1020,0.0016,0,0.98935,RAJERI,7.2193,0.0226,0.0001,0.0014
11,15,FALL,GB,1020,0.0032,0,0.4427,SCOSCO,7.2193,0.0444,0.00009,0.00123
12,15,FALL,GB,1020,0.0032,0,1.00421,SQUACA,7.2193,0.0444,0.0002,0.00279
13,15,FALL,GB,1020,1.258,0.081,0.22607,UNIFIS,7.2193,17.4255,0.01781,0.24669
14,15,SPRING,GB,828,0.0321,0,0.39437,CLUHAR,4.063,0.7891,0.00088,0.02163
15,15,SPRING,GB,828,0.0009,0,0.74158,GADMOR,4.063,0.0227,0.00005,0.00117
16,15,SPRING,GB,828,0.0168,0,0.65957,LIMFER,4.063,0.4136,0.00077,0.01896
17,15,SPRING,GB,828,0,0,0,LOPAME,4.063,0,0,0
18,15,SPRING,GB,828,0,0,0,MELAEG,4.063,0,0,0
19,15,SPRING,GB,828,0.0974,0.006,0.79855,MERBIL,4.063,2.397,0.00541,0.13304
20,15,SPRING,GB,828,2.853,0.419,0.22682,OTHER,4.063,70.2191,0.04498,1.107
21,15,SPRING,GB,828,0.403,0.007,0.21122,OTHFIS,4.063,9.9178,0.00592,0.1456
22,15,SPRING,GB,828,0,0,0,PLEAME,4.063,0,0,0
23,15,SPRING,GB,828,0,0,0,RAJERI,4.063,0,0,0
24,15,SPRING,GB,828,0.068,0.002,0.60061,SCOSCO,4.063,1.6737,0.00284,0.06987
25,15,SPRING,GB,828,0,0,0,SQUACA,4.063,0,0,0
26,15,SPRING,GB,828,0.5918,0.016,0.21314,UNIFIS,4.063,14.5669,0.00877,0.2158
27,23,FALL,GB,1133,0.3735,0.039,0.52772,CLUHAR,9.876,3.782,0.01171,0.11859
28,23,FALL,GB,1133,0.0001,0,1.00119,GADMOR,9.876,0.001,0.00001,0.00006
29,23,FALL,GB,1133,0.0001,0,0.9288,LIMFER,9.876,0.0008,0,0.00005
30,23,FALL,GB,1133,0,0,0,LOPAME,9.876,0,0,0
31,23,FALL,GB,1133,0.1414,0.007,0.58349,MELAEG,9.876,1.4318,0.0049,0.04964
32,23,FALL,GB,1133,0.3481,0.022,0.42576,MERBIL,9.876,3.5246,0.00881,0.08916
33,23,FALL,GB,1133,3.8314,0.212,0.1203,OTHER,9.876,38.7953,0.02739,0.2773
34,23,FALL,GB,1133,3.9654,0.598,0.19504,OTHFIS,9.876,40.1518,0.04595,0.4653
35,23,FALL,GB,1133,0,0,0,PLEAME,9.876,0,0,0
36,23,FALL,GB,1133,0.0006,0,1.00189,RAJERI,9.876,0.0057,0.00003,0.00034
37,23,FALL,GB,1133,0.0056,0,1.00156,SCOSCO,9.876,0.0569,0.00033,0.00339
38,23,FALL,GB,1133,0,0,0,SQUACA,9.876,0,0,0
39,23,FALL,GB,1133,1.2098,0.173,0.34415,UNIFIS,9.876,12.25,0.02474,0.2505
40,23,SPRING,GB,987,0.0409,0.001,0.7689,CLUHAR,5.7764,0.7079,0.002,0.03465
41,23,SPRING,GB,987,0,0,0,GADMOR,5.7764,0,0,0
42,23,SPRING,GB,987,0,0,0,LIMFER,5.7764,0,0,0
43,23,SPRING,GB,987,0,0,0,LOPAME,5.7764,0,0,0
44,23,SPRING,GB,987,0,0,0,MELAEG,5.7764,0,0,0
45,23,SPRING,GB,987,0.0153,0,0.95311,MERBIL,5.7764,0.265,0.00093,0.01608
46,23,SPRING,GB,987,3.8218,0.147,0.10015,OTHER,5.7764,66.1628,0.02437,0.42183
47,23,SPRING,GB,987,1.5055,0.116,0.22648,OTHFIS,5.7764,26.0624,0.02171,0.37577
48,23,SPRING,GB,987,0,0,0,PLEAME,5.7764,0,0,0
49,23,SPRING,GB,987,0.0057,0,0.89017,RAJERI,5.7764,0.0982,0.00032,0.00556
50,23,SPRING,GB,987,0.0127,0,0.66495,SCOSCO,5.7764,0.2207,0.00054,0.00934
51,23,SPRING,GB,987,0,0,0,SQUACA,5.7764,0,0,0
52,23,SPRING,GB,987,0.3745,0.017,0.34329,UNIFIS,5.7764,6.483,0.00818,0.14168
53,26,FALL,GB,1062,0.0001,0,1.00535,CLUHAR,2.519,0.0054,0.00001,0.00033
54,26,FALL,GB,1062,0,0,0,GADMOR,2.519,0,0,0
55,26,FALL,GB,1062,0.0005,0,0.56521,LIMFER,2.519,0.0186,0.00002,0.00065
56,26,FALL,GB,1062,0,0,0,LOPAME,2.519,0,0,0
57,26,FALL,GB,1062,0.0019,0,1.00505,MELAEG,2.519,0.0766,0.00012,0.00472
58,26,FALL,GB,1062,0.0179,0,0.47165,MERBIL,2.519,0.7118,0.00052,0.0206
59,26,FALL,GB,1062,2.4004,0.041,0.08426,OTHER,2.519,95.2935,0.01241,0.49275
60,26,FALL,GB,1062,0.0625,0,0.235,OTHFIS,2.519,2.4793,0.0009,0.03576
61,26,FALL,GB,1062,0.0003,0,0.83624,PLEAME,2.519,0.01,0.00001,0.00051
62,26,FALL,GB,1062,0,0,0,RAJERI,2.519,0,0,0
63,26,FALL,GB,1062,0,0,0,SCOSCO,2.519,0,0,0
64,26,FALL,GB,1062,0,0,0,SQUACA,2.519,0,0,0
65,26,FALL,GB,1062,0.0354,0,0.22617,UNIFIS,2.519,1.4049,0.00049,0.0195
66,26,SPRING,GB,1002,0,0,1.00245,CLUHAR,3.0993,0.0007,0,0.00005
67,26,SPRING,GB,1002,0,0,0,GADMOR,3.0993,0,0,0
68,26,SPRING,GB,1002,0.0004,0,1.00245,LIMFER,3.0993,0.0126,0.00002,0.0008
69,26,SPRING,GB,1002,0,0,0,LOPAME,3.0993,0,0,0
70,26,SPRING,GB,1002,0,0,0,MELAEG,3.0993,0,0,0
71,26,SPRING,GB,1002,0.0203,0,0.99642,MERBIL,3.0993,0.6541,0.00128,0.04118
72,26,SPRING,GB,1002,2.9594,0.04,0.06781,OTHER,3.0993,95.4863,0.01268,0.4091
73,26,SPRING,GB,1002,0.0627,0,0.24453,OTHFIS,3.0993,2.0216,0.00097,0.03123
